Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
Schalt-Tabelle 'BERGAB';BGETAB;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$B48F;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalttabelle bei BOOST-Betrieb;BOOSLTAB;DSP_Hybrid: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$CE6A;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'BERGAUF';BSLTAB;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$B2D6;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'CITY';CITYSLTAB;DSP_City_Sport: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$AF64;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'Hybrid Depleting';DEPSLTAB;DSP_Hybrid: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$C786;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'Efficiency-Bergauf';EFFBSLTAB;DSP_Efficiency: ""Werte für Effizienz-Modus"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$B805;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'Efficiency-DPF';EFFDPFSLTAB;DSP_Efficiency: ""Werte für Effizienz-Modus"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$BEE9;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'Efficiency-Bergab';EFFGESLTAB;DSP_Efficiency: ""Werte für Effizienz-Modus"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$B9BE;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'Efficiency-Heiss';EFFHOTSLTAB;DSP_Efficiency: ""Werte für Effizienz-Modus"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$BD30;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'Efficiency-Warmlauf';EFFWRMSLTAB;DSP_Efficiency: ""Werte für Effizienz-Modus"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$BB77;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalttabelle E-Fahren;ESLTAB;DSP_Hybrid: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$C93F;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle für 'S' (EXTREM);EXTREMTAB;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$B11D;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Oberhalb dieser ATF-Grenze wird die Funktion wieder abgeschaltet;EXTREM_KALT_AUS;DSP_extrem_kalt: ""Verhinderung des 1. Gangs bei Tiefen Temperaturen"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Umrechnungsformel für die ATF-Temperatur;°C;1;-55;$B803;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Unterhalb dieser ATF-Grenze wird die Funktion eingeschaltet;EXTREM_KALT_EIN;DSP_extrem_kalt: ""Verhinderung des 1. Gangs bei Tiefen Temperaturen"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;Umrechnungsformel für die ATF-Temperatur;°C;1;-55;$B802;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
1: Bei sehr niedrigen Temperaturen wird der 1.Gang gesperrt und im 2. Gang gefahren;EXTREM_KALT_ENABLE;DSP_extrem_kalt: ""Verhinderung des 1. Gangs bei Tiefen Temperaturen"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;;;1;0;$B801;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
1: bei Temperaturfehler im 1.Gang starten, Funktion ist quasi aus;EXTREM_KALT_IM_FEHLERFALL_MIT_G1;DSP_extrem_kalt: ""Verhinderung des 1. Gangs bei Tiefen Temperaturen"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;;;1;0;$B804;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Schalttabelle Hybrid E-Fahren Boosten;E_FELD_BOOST;DSP_Hybrid: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$CAF8;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalttabelle Hybrid E-Fahren Rekuperation;E_FELD_REKUP;DSP_Hybrid: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$CCB1;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'HEISS';HOTSLTAB;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$B648;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Offroad Schalt-Tabelle Bergauf;OTSBSLTAB;DSP_Offroad: ""Funktionen für den Offroadtaster"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$C25B;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Offroad Schalt-Tabelle Bergab;OTSGESLTAB;DSP_Offroad: ""Funktionen für den Offroadtaster"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$C414;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Offroad Schalt-Tabelle;OTSSLTAB;DSP_Offroad: ""Funktionen für den Offroadtaster"";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$C0A2;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'ECO';SLTAB;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$ABF2;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle hoher Sportlichkeitfaktor (SPORT);SLTABX;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$ADAB;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schalt-Tabelle 'SNOW';SNOWSLTAB;DSP_Parameter: """";eZweidim;eViewText;eBars;eByte;0;0;0;0;0;0;21;21;10;;0;0;0;1:1 Umrechnung mit Einheit km/h ohne Nachkommastellen;km/h;1;0;$C5CD;DSP_Stuetzstellen_21_in_Prozent;;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0;DSP_Schaltung_14_erweitert;NO_INPUT_QUANTITY;;1;0;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Schaltzeiten mit Momentenreduktion bei aktivierter Eek-Funktionalität;KhsEek_MRedTSchalt_kl;KhsApplEek: ""Applikationsparameter für die Eek-Funktionalität"";eZweidim;eViewText;eBars;eHiLo;0;1;0;0;0;0;5;6;10;;1;0;0;;ms;1;0;$18438;Fahrpedalachse;;%;0.1;-0;10;0;0;1;1;eRom;0;$18310;eHiLo;0x-1;0;Gänge Hochschaltung;Khs.GangLetzt;;1;1;10;0;0;0;0;eUserdefString;0;$0;eByte;0x-1;0
Prozentuale Verteilung des Reglermoments auf die kommende Kupplung in Abhaengigkeit des Moments der gehenden Kupplung;KhsFaktRegelKommend_kl;KhsApplUeberschneidung: ""Applikationsgrößen für die Überschneidung"";eEindim;eViewText;eBars;eHiLo;0;1;0;0;0;0;4;1;10;;1;0;0;;%;0.09765625;-0;$18696;Kennlinienachse Prozentuale Verteilung des Reglermoments auf die kommende Kupplung in Abhaengigkeit des Moments der gehenden Kupplung;;%;0.09765625;-0;10;0;0;1;1;eRom;2;$1868E;eHiLo;0x2;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x6600;0
Einschalter fuer Temperaturkorrektur des I-Anteils (OPL_2922);KhsGr_En_KiTempKorr_ko;KhsApplReg: ""Applikationsgrößen für den Regler"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;0;0;0;0: Nein, 1: Ja;;1;0;$18683;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
Kennlinie fuer Temperaturkorrektur des I-Anteils (OPL_2922);KhsGr_FaktKi_KiTempKorr_kl;KhsApplReg: ""Applikationsgrößen für den Regler"";eEindim;eViewText;eBars;eHiLo;0;1;0;0;0;0;4;1;10;;3;0;0;Aufloesung 0.001 ohne Einheit;;0.001;-0;$18618;Temperatur;;°C;1;0;10;0;0;1;0;eRom;0;$18610;eHiLo;0x-1;0;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0
