Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
ABKOPPLER_START;ABKOPPLER_START;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B68;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
ABKOP_ATF_TMP_OBEN;ABKOP_ATF_TMP_OBEN;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B6D;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
ABKOP_ATF_TMP_UNTEN;ABKOP_ATF_TMP_UNTEN;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B6C;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
ABKOP_GES;ABKOP_GES;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B69;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
ABKOP_H2O_TMP_OBEN;ABKOP_H2O_TMP_OBEN;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B6B;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
ABKOP_H2O_TMP_UNTEN;ABKOP_H2O_TMP_UNTEN;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B6A;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x9014;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x0;0
ABKOP_ZT;ABKOP_ZT;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$45B67;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
Switch On given mountain factor;ABST_EBENE_BERG;DSP_Berg: ""Values for uphill and uphill"";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;0;$4485D;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
ABST_EBENE_BERG_LOW;ABST_EBENE_BERG_LOW;DSP_AQ: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;-0;$44862;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
Switch extreme default (KONST_ECO_EXTREM);ABST_ECO_EXTREM;DSP_Sportlichkeit: """";eZweidim;eView3d;eBars;eBitLoHi;0;0;0;0;0;0;1;8;10;;0;0;0;;;1;0;$44859;-;;-;1;0;16;1;0;0;-1;eDataSrcNone;0;$0;eByte;0x-1;0;;;?;1;0;10;0;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
